순위,종목,보유인원,총주수
1,삼성전자,874,1237223
2,카카오,358,34826
3,SK하이닉스,311,29005
4,NAVER,293,61326
5,두산에너빌리티,249,46365
6,현대차,245,14182
7,LG에너지솔루션,196,4432
8,삼성전자우,176,72275
9,삼성SDI,152,10090
10,대한항공,129,53158
11,POSCO홀딩스,129,8084
12,한화오션,114,12864
13,셀트리온,113,14059
14,카카오뱅크,108,6976
15,LG전자,106,14067
16,에코프로비엠,103,9980
17,삼성중공업,101,79212
18,LG화학,91,3945
19,한국전력,89,31776
20,SK이노베이션,84,6051
21,에코프로,80,17313
22,SK아이이테크놀로지,79,2479
23,LG디스플레이,73,51648
24,HMM,64,23544
25,SK텔레콤,64,8525
26,카카오페이,64,3215
27,한화솔루션,63,11344
28,기아,63,6540
29,포스코퓨처엠,63,3570
30,현대로템,59,2830
31,SK바이오사이언스,58,11952
32,알테오젠,57,3707
33,한미반도체,56,5055
34,삼성전기,56,4321
35,하이브,53,3694
36,기업은행,52,27933
37,대한전선,51,17407
38,HD현대중공업,51,1885
39,한화에어로스페이스,47,1411
40,미래에셋증권,46,24070
41,KB금융,46,19116
42,두산로보틱스,46,4883
43,LG씨엔에스,45,10334
44,한화시스템,45,5014
45,우리금융지주,44,29762
46,엘앤에프,44,2668
47,SK,43,1437
48,호텔신라,42,6288
49,삼성물산,42,5213
50,아모레퍼시픽,40,2194
51,KT&G,40,1625
52,KT,39,16602
53,현대건설,39,4825
54,신한지주,39,3510
55,대우건설,38,37378
56,하나금융지주,38,2825
57,맥쿼리인프라,34,136314
58,HLB,34,42978
59,삼성증권,34,5218
60,유한양행,33,6208
61,한화비전,33,4167
62,한국항공우주,33,3856
63,현대모비스,33,1556
64,포스코홀딩스,33,967
65,롯데렌탈,33,720
66,레인보우로보틱스,32,855
67,한화갤러리아,31,9727
68,카카오게임즈,31,7519
69,삼성바이오로직스,31,586
70,삼성에스디에스,30,1689
71,두산퓨얼셀,29,8667
72,LIG넥스원,29,2799
73,HD한국조선해양,29,2046
74,에이피알,29,1914
75,HD현대일렉트릭,29,458
76,셀트리온제약,28,5615
77,이수페타시스,28,3966
78,씨젠,28,3832
79,JYPEnt.,28,3738
80,LG생활건강,28,2952
81,LG이노텍,28,1391
82,아시아나항공,27,18029
83,SK바이오팜,27,7647
84,현대차2우B,27,5509
85,삼성생명,27,5408
86,SK스퀘어,27,2188
87,세미파이브,27,138
88,현대제철,26,6356
89,롯데케미칼,26,1433
90,한화생명,25,100303
91,팬오션,25,31866
92,대한해운,25,20793
93,휴림로봇,25,17330
94,금양,25,9815
95,포스코인터내셔널,25,5361
96,NH투자증권,24,11726
97,루닛,24,4245
98,크래프톤,24,1547
99,신라젠,23,13302
100,HD현대,23,5495
101,한국전력공사,23,5431
102,케이엠더블유,23,4163
103,일진하이솔루스,23,3701
104,하나투어,23,3529
105,넷마블,23,2097
106,풍산,23,1772
107,에이비엘바이오,23,946
108,포스코DX,22,9772
109,하림,22,9156
110,SKC,22,3083
111,한국가스공사,22,2391
112,이마트,22,1945
113,엔씨소프트,22,766
114,현대차우,21,3276
115,HL만도,21,2338
116,CJ제일제당,21,844
117,신성이엔지,20,75877
118,한화엔진,20,8127
119,나노신소재,20,4436
120,CJENM,20,4132
121,로보티즈,20,1414
122,제넥신,19,56169
123,GS건설,19,2799
124,삼양식품,19,255
125,두산,19,134
126,진원생명과학,18,26357
127,우리기술,18,7819
128,현대글로비스,18,1520
